n,single time,two time,muti time
689,1.38312e+06,1.39944e+06,8.37824e+06
690,1.3836e+06,1.37892e+06,8.3928e+06
691,1.41614e+06,1.39233e+06,8.40836e+06
692,1.39585e+06,1.39947e+06,8.45139e+06
693,1.41547e+06,1.43676e+06,8.48811e+06
694,1.41041e+06,1.42161e+06,8.47958e+06
695,1.43078e+06,1.4538e+06,8.50329e+06
696,1.44636e+06,1.42968e+06,8.54648e+06
697,1.44205e+06,1.44798e+06,8.60699e+06
698,1.43707e+06,1.45743e+06,8.5806e+06
699,1.44891e+06,1.45231e+06,8.60412e+06
700,1.45345e+06,1.49084e+06,8.6091e+06
701,1.47273e+06,1.48175e+06,8.69177e+06
702,1.45591e+06,1.47726e+06,8.75471e+06
703,1.48328e+06,1.49492e+06,8.69895e+06
704,1.51126e+06,1.47413e+06,8.73893e+06
705,1.50397e+06,1.49935e+06,8.7276e+06
706,1.51731e+06,1.51424e+06,8.82972e+06
707,1.51701e+06,1.57027e+06,8.89895e+06
708,1.51883e+06,1.52323e+06,8.90874e+06
709,1.52225e+06,1.53239e+06,8.92546e+06
710,1.521e+06,1.5338e+06,8.90082e+06
711,1.57523e+06,1.55109e+06,8.94198e+06
712,1.54982e+06,1.54262e+06,9.03621e+06
713,1.55928e+06,1.54673e+06,9.13938e+06
714,1.55155e+06,1.56754e+06,8.97234e+06
715,1.56239e+06,1.57529e+06,9.03811e+06
716,1.5775e+06,1.57887e+06,9.03771e+06
717,1.60072e+06,1.58788e+06,9.01283e+06
718,1.6371e+06,1.587e+06,9.08918e+06
719,1.58746e+06,1.59527e+06,9.15568e+06
720,1.64866e+06,1.59356e+06,9.15948e+06
721,1.65162e+06,1.63177e+06,9.18623e+06
722,1.62898e+06,1.63183e+06,9.22904e+06
723,1.62567e+06,1.62826e+06,9.22203e+06
724,1.65506e+06,1.6393e+06,9.28807e+06
725,1.64031e+06,1.64788e+06,9.31053e+06
726,1.67e+06,1.65163e+06,9.32299e+06
727,1.66188e+06,1.67991e+06,9.35946e+06
728,1.6719e+06,1.67665e+06,9.35176e+06
729,1.6625e+06,1.67932e+06,9.42512e+06
730,1.6935e+06,1.69551e+06,9.42862e+06
731,1.71821e+06,1.70651e+06,9.46663e+06
732,1.72338e+06,1.70796e+06,9.49996e+06
733,1.72944e+06,1.69245e+06,9.58155e+06
734,1.72866e+06,1.70586e+06,9.57747e+06
735,1.72686e+06,1.70319e+06,9.60802e+06
736,1.74118e+06,1.75237e+06,9.6576e+06
737,1.74924e+06,1.74204e+06,9.69725e+06
738,1.74612e+06,1.75858e+06,9.72014e+06
739,1.60943e+06,1.57797e+06,9.54155e+06
740,1.61107e+06,1.59882e+06,9.28923e+06
741,1.63446e+06,1.60046e+06,9.29211e+06
742,1.62087e+06,1.61734e+06,9.33832e+06
743,1.62599e+06,1.60592e+06,9.36566e+06
744,1.62723e+06,1.61247e+06,9.38704e+06
745,1.63814e+06,1.62674e+06,9.42534e+06
746,1.63115e+06,1.63817e+06,9.44544e+06
747,1.63854e+06,1.67846e+06,9.50222e+06
748,1.67369e+06,1.65614e+06,9.48029e+06
749,1.67494e+06,1.65318e+06,9.52775e+06
750,1.68969e+06,1.70288e+06,9.55389e+06
751,1.70569e+06,1.68093e+06,9.60912e+06
752,1.67694e+06,1.7044e+06,9.66863e+06
753,1.69707e+06,1.67893e+06,9.66073e+06
754,1.74551e+06,1.70065e+06,9.70243e+06
755,1.73046e+06,1.69991e+06,9.70095e+06
756,1.67809e+06,1.70681e+06,9.7274e+06
757,1.77129e+06,1.71557e+06,9.78076e+06
758,1.76031e+06,1.73206e+06,9.83885e+06
759,1.74266e+06,1.74179e+06,9.85072e+06
760,1.73811e+06,1.75412e+06,9.88898e+06
761,1.81392e+06,1.75207e+06,9.91634e+06
762,1.78262e+06,1.79158e+06,9.95362e+06
763,1.78512e+06,1.7536e+06,9.95902e+06
764,1.7925e+06,1.77051e+06,1.00106e+07
765,1.80439e+06,1.77885e+06,1.00397e+07
766,1.8376e+06,1.80024e+06,1.00392e+07
767,1.84433e+06,1.80699e+06,1.00913e+07
768,1.842e+06,1.794e+06,1.00913e+07
769,1.84387e+06,1.83239e+06,1.01516e+07
770,1.8274e+06,1.8221e+06,1.01561e+07
771,1.88155e+06,1.83464e+06,1.01991e+07
772,1.87564e+06,1.85467e+06,1.01988e+07
773,1.83672e+06,1.8343e+06,1.02516e+07
774,1.86113e+06,1.84804e+06,1.0268e+07
775,1.91609e+06,1.85759e+06,1.03146e+07
776,1.86555e+06,1.85489e+06,1.0357e+07
777,1.89616e+06,1.87948e+06,1.03703e+07
778,1.8958e+06,1.89892e+06,1.0397e+07
779,1.88989e+06,1.89723e+06,1.04166e+07
780,1.92109e+06,1.92701e+06,1.04634e+07
781,1.93794e+06,1.94702e+06,1.05016e+07
782,1.95489e+06,1.93731e+06,1.05265e+07
783,1.94376e+06,1.93545e+06,1.05776e+07
784,1.95778e+06,1.92672e+06,1.05861e+07
785,1.97116e+06,1.93533e+06,1.06292e+07
786,1.97647e+06,1.98821e+06,1.06615e+07
787,1.97334e+06,1.98696e+06,1.06963e+07
788,2.0103e+06,2.02263e+06,1.07235e+07
789,2.03012e+06,2.00464e+06,1.08641e+07
790,2.03623e+06,2.02914e+06,1.08651e+07
791,2.02678e+06,2.03153e+06,1.09115e+07
792,2.03894e+06,2.04826e+06,1.08943e+07
793,2.04311e+06,2.04397e+06,1.09429e+07
794,2.05903e+06,2.0548e+06,1.09781e+07
795,2.06951e+06,2.08189e+06,1.10467e+07
796,2.09103e+06,2.05515e+06,1.10767e+07
797,2.10183e+06,2.08805e+06,1.10758e+07
798,2.1024e+06,2.0785e+06,1.11469e+07
799,2.11106e+06,2.10595e+06,1.11474e+07
800,2.13939e+06,2.11154e+06,1.11652e+07
801,2.13766e+06,2.11836e+06,1.1237e+07
802,2.12748e+06,2.14193e+06,1.12599e+07
803,2.15505e+06,2.13604e+06,1.12688e+07
804,2.14347e+06,2.18362e+06,1.15167e+07
805,2.14396e+06,2.16177e+06,1.13229e+07
806,2.40991e+06,2.421e+06,1.18186e+07
807,2.43216e+06,2.41752e+06,1.18299e+07
808,2.39512e+06,2.42682e+06,1.18229e+07
809,2.42871e+06,2.46598e+06,1.18711e+07
810,2.45337e+06,2.4469e+06,1.19412e+07
811,2.49617e+06,2.48568e+06,1.19677e+07
812,2.45315e+06,2.47674e+06,1.20026e+07
813,2.48252e+06,2.50622e+06,1.20758e+07
814,2.50665e+06,2.48871e+06,1.209e+07
815,2.50599e+06,2.46305e+06,1.20481e+07
816,2.47647e+06,2.49469e+06,1.21279e+07
817,2.50189e+06,2.50608e+06,1.21836e+07
818,2.54728e+06,2.55103e+06,1.22219e+07
819,2.53798e+06,2.53981e+06,1.22737e+07
820,2.58741e+06,2.60038e+06,1.22673e+07
821,2.60372e+06,2.61143e+06,1.23673e+07
822,2.57646e+06,2.60804e+06,1.23618e+07
823,2.58213e+06,2.61188e+06,1.2465e+07
824,2.60913e+06,2.64076e+06,1.23621e+07
825,2.29853e+06,2.30689e+06,1.22825e+07
826,2.31614e+06,2.32484e+06,1.18846e+07
827,2.33989e+06,2.3275e+06,1.19009e+07
828,2.32912e+06,2.33138e+06,1.19844e+07
829,2.35259e+06,2.36713e+06,1.19737e+07
