n,single time,two time,four time,eight time,sixteen time,thirty two time
549,619148,645512,630343,1.21885e+06,1.24797e+06,1.25209e+06,1.26502e+06
550,574145,676309,650812,1.22627e+06,1.2407e+06,1.26131e+06,1.29282e+06
551,592569,647084,639129,1.23928e+06,1.24712e+06,1.27855e+06,1.30509e+06
552,606889,635018,643709,1.24662e+06,1.25416e+06,1.2786e+06,1.28752e+06
553,596427,629166,657832,1.24958e+06,1.2768e+06,1.27898e+06,1.30353e+06
554,578184,645325,649897,1.24499e+06,1.27456e+06,1.28337e+06,1.32522e+06
555,636549,621992,653455,1.25428e+06,1.28277e+06,1.29599e+06,1.32653e+06
556,585607,620817,658153,1.27644e+06,1.28303e+06,1.31704e+06,1.33012e+06
557,590559,631010,660946,1.26958e+06,1.2901e+06,1.31234e+06,1.33102e+06
558,581737,631388,665123,1.29631e+06,1.30985e+06,1.31893e+06,1.34224e+06
559,597726,632964,668467,1.29407e+06,1.30408e+06,1.3296e+06,1.3492e+06
560,602134,636725,672215,1.30388e+06,1.3005e+06,1.33622e+06,1.35868e+06
561,614518,646101,675936,1.30198e+06,1.3223e+06,1.33467e+06,1.37678e+06
562,608191,649005,680632,1.35456e+06,1.32429e+06,1.34938e+06,1.37591e+06
563,629712,653233,684573,1.32406e+06,1.34475e+06,1.35107e+06,1.36595e+06
564,613637,654218,682636,1.33852e+06,1.33094e+06,1.36097e+06,1.38629e+06
565,622405,653142,692335,1.31315e+06,1.37029e+06,1.3736e+06,1.39165e+06
566,621879,663414,691322,1.36367e+06,1.34979e+06,1.36856e+06,1.39089e+06
567,625101,663597,694503,1.3362e+06,1.36607e+06,1.38642e+06,1.41968e+06
